instance_name,inv_weight,inv_roughness
cup_3_8,-0.099,-0.2271899541130719
cup_10_7,-0.058,-0.2435296977028156
metal_box_1_9,-0.041,-0.2146643130874308
ball_5_9,-0.059,-0.1078117489848667
ball_1_7,-0.096,-0.1274591848823029
bowl_1_7,-0.264,-0.2188181592412769
cup_6_7,-0.302,-0.2313117489848669
plastic_box_9_6,-0.072,-0.276613031036149
cup_5_9,-0.318,-0.253465595138713
plastic_box_9_5,-0.072,-0.2784784156515335
tray_3_8,-0.489,-0.2764014925746105
ball_9_7,-0.012,-0.1529079028310208
to_go_cup_2_2,-0.014,-0.3069399541130718
tray_8_5,-0.072,-0.3734335438566617
bowl_4_7,-0.282,-0.1961258515489696
tray_10_4,-0.187,-0.2608053387284565
plastic_box_7_7,-0.109,-0.2401258515489694
to_go_cup_7_10,-0.032,-0.2314591848823027
cup_5_7,-0.318,-0.2306514925746103
bowl_4_2,-0.282,-0.2146194412925589
book_3_1,-1.043,-0.2754014925746106
plate_3_10,-0.656,-0.213914313087431
plastic_box_3_5,-0.101,-0.2296066207797385
plastic_box_9_4,-0.072,-0.2765489284720462
plastic_box_8_2,-0.092,-0.2787732874464052
plastic_box_5_9,-0.022,-0.2600617489848667
bowl_2_10,-0.343,-0.2233438002669182
paper_box_7_10,-0.044,-0.2618373900105077
sponge_2_8,-0.012,-0.4376386720617899
metal_box_7_5,-0.076,-0.2324014925746104
plate_8_8,-0.543,-0.2519655951387129
to_go_cup_4_5,-0.01,-0.229664313087431
ball_3_3,-0.05,-0.1839784156515334
to_go_cup_1_2,-0.013,-0.2843950823182003
plastic_box_1_8,-0.048,-0.2887796977028158
sponge_5_10,-0.005,-0.3605745694976873
metal_box_7_8,-0.076,-0.2610232874464053
cup_7_1,-0.239,-0.1982220053951232
cup_9_3,-0.324,-0.2258117489848667
to_go_cup_3_2,-0.046,-0.2339079028310206
plate_10_6,-0.389,-0.2046066207797387
ball_7_5,-0.069,-0.1078502105233283
paper_box_10_7,-0.02,-0.2449527746258924
to_go_cup_6_5,-0.019,-0.2036130310361488
bowl_8_8,-0.244,-0.1979720053951234
metal_box_2_5,-0.098,-0.2828886720617897
bowl_10_6,-0.505,-0.2481322618053798
cup_10_1,-0.058,-0.2730296977028155
metal_box_1_8,-0.041,-0.2159014925746106
ball_1_8,-0.096,-0.1112155951387127
cup_2_8,-0.201,-0.2597284156515334
metal_box_4_9,-0.085,-0.2118566207797387
sponge_4_9,-0.003,-0.5432091848823029
plate_7_7,-0.019,-0.3443053387284564
cup_1_10,-0.218,-0.2787861079592259
tray_2_7,-0.554,-0.2603181592412772
ball_1_9,-0.096,-0.1359271336002514
cup_3_2,-0.099,-0.2371835438566615
tray_10_1,-0.187,-0.2697476464207643
cup_4_9,-0.13,-0.2337861079592258
tray_9_9,-0.245,-0.2285104669335848
ball_9_3,-0.012,-0.09788226180537962
book_3_5,-1.043,-0.2771386720617899
plastic_box_10_1,-0.026,-0.2914784156515335
tray_9_4,-0.245,-0.2339014925746103
metal_box_6_1,-0.152,-0.2794463643694822
sponge_2_1,-0.012,-0.4453502105233282
book_8_6,-0.317,-0.2422220053951231
paper_box_1_4,-0.011,-0.2489784156515336
to_go_cup_1_4,-0.013,-0.2886579028310207
ball_2_10,-0.058,-0.1317220053951234
bowl_9_9,-0.548,-0.2217348259079438
plate_5_8,-0.436,-0.2050681592412771
ball_4_10,-0.014,-0.1152925182156359
cup_8_6,-0.166,-0.2600296977028158
plate_6_3,-0.61,-0.2606002105233283
sponge_9_2,-0.013,-0.4020938002669182
cup_9_4,-0.324,-0.2270489284720462
paper_box_7_3,-0.044,-0.3269784156515336
book_6_6,-0.896,-0.2316835438566616
paper_box_6_3,-0.015,-0.2403053387284567
bowl_7_5,-0.028,-0.2664527746258925
plate_7_8,-0.019,-0.3480489284720463
paper_box_9_4,-0.674,-0.2183309797540976
plate_3_8,-0.656,-0.2044976464207645
tray_8_4,-0.072,-0.3556130310361487
tray_9_10,-0.245,-0.2498117489848669
bowl_3_7,-0.222,-0.2240361079592257
ball_10_3,-0.033,-0.09553610795922582
paper_box_5_1,-0.017,-0.2375425182156358
book_2_7,-0.617,-0.2367861079592257
cup_4_4,-0.13,-0.2374784156515335
book_6_4,-0.896,-0.2225489284720462
plastic_box_10_8,-0.026,-0.256741236164354
cup_4_8,-0.13,-0.2309271336002514
paper_box_5_7,-0.017,-0.2352604669335848
tray_5_4,-0.167,-0.2258502105233283
ball_2_6,-0.058,-0.1220168771899949
to_go_cup_5_6,-0.007,-0.3249591848823025
metal_box_4_3,-0.085,-0.227593800266918
sponge_1_1,-0.005,-0.3821899541130721
paper_box_1_6,-0.011,-0.2831771336002514
bowl_4_3,-0.282,-0.2138950823182001
to_go_cup_5_9,-0.007,-0.374068159241277
paper_box_7_5,-0.044,-0.2619655951387131
paper_box_4_3,-0.044,-0.2728822618053798
ball_2_3,-0.058,-0.1093630310361488
cup_1_4,-0.218,-0.2886579028310207
book_7_6,-0.465,-0.239189954113072
ball_8_9,-0.057,-0.1357348259079438
book_5_1,-0.265,-0.2378053387284568
paper_box_7_2,-0.044,-0.2859335438566617
ball_2_9,-0.058,-0.1156707233438411
ball_4_7,-0.014,-0.139343800266918
