instance_name,length,width,hollowness
paper_box_4_6,0.7897147666423174,1,0.1812547608276073,0
bowl_2_1,0.9615971237722744,1,0.4638086564509995,0.9572691064730339
metal_box_2_2,0.9860110305738397,1,0.7215689040814973,0
book_5_10,1,0.7146106563262962,0.0786523229929628,0
book_8_5,0.7502979160346854,1,0.1127791797544081,0
metal_box_8_4,0.9081100422756841,1,0.4700896331114011,0
book_10_6,0.7392132359158052,1,0.2527966771568333,0
plastic_box_9_4,0.9101275706136848,1,0.5639715987710651,0
cup_8_2,0.6483311170610435,0.5720176517614879,1,0.9573272366537883
plastic_box_3_7,0.4043879868409532,0.7001345559800144,1,0
sponge_8_6,0.3586397598462107,1,0.1844196756913734,0
cup_8_7,0.6168197436072672,0.544185403858668,1,0.9626376973118971
cup_2_3,0.6741094273653238,1,0.6695830543859013,0.9734512769398834
plastic_box_3_5,0.3995268606870712,0.718439627284837,1,0
plate_1_4,0.9196706489835893,1,0.1191343897453301,0.8366207413276817
bowl_7_5,0.9622275544131261,1,0.7138748798694323,0.9362251921196959
plastic_box_6_5,1,0.9520822345777222,0.3994085636480963,0
bowl_9_2,0.9680369393777213,1,0.5649072460734961,0.9299860385380746
bowl_9_6,0.9893979519608168,1,0.5800177471401993,0.9298798579369122
metal_box_5_5,1,0.7428257363035949,0.3820147642077074,0
plate_2_2,0.9345559582424836,1,0.1197622748266037,0.7265483172679323
ball_7_9,0.6351805047567968,1,0.9384499915991459,0
to_go_cup_5_2,0.9817313710286274,1,0.8457524554540216,0.9995895821167136
sponge_2_7,0.5634126244933233,1,0.223552216155756,0
cup_3_4,0.8575803646534863,0.8093016054868325,1,0.9066657229417485
ball_5_6,0.6317477418649089,1,0.8854103080932397,0
sponge_3_9,1,0.8662889357837162,0.289256222870132,0
sponge_7_10,0.7535021583301922,1,0.4061451025924023,0
cup_3_3,0.8671989580203268,0.7957008423256594,1,0.9228157726703303
metal_box_8_6,0.9167088591305675,1,0.4462375841001934,0
sponge_4_6,0.8359095168227385,1,0.3241256578117808,0
tray_5_3,0.6816658210097941,1,0.1253387021390995,0
plastic_box_7_5,0.8199802841130184,0.867572428042955,1,0
book_1_9,1,0.6813557703145495,0.2259596012411346,0
tray_4_7,0.6681534146262312,1,0.1271848599499451,0
cup_2_8,0.6762891672673668,1,0.6728149778877438,0.9734814836936496
sponge_8_5,0.3555679213264291,1,0.1795531853476997,0
tray_5_10,0.7142392815177199,1,0.1187499009056781,0
tray_1_2,0.9953973372851278,1,0.1083217225999477,0
sponge_7_2,0.753488933294815,1,0.4187865105815514,0
plate_3_3,0.9813420396937196,1,0.1217652541942864,0.7892918994526505
tray_6_7,0.8337858124560595,1,0.08468325937495558,0
paper_box_6_2,0.533396812382345,1,0.2513568723096629,0
plate_7_2,1,0.9809842841756001,0.09863821873633785,0.6319738286695801
to_go_cup_6_9,0.8359807672099836,0.8651102628917594,1,0.8977874626534206
paper_box_9_7,0.3400468738709804,0.6755414713444655,1,0
book_3_4,0.688800626566479,1,0.1606787177642549,0
tray_6_3,0.8256652970358056,1,0.0847424048309577,0
ball_8_7,0.6869516893578481,1,0.8346077195982248,0
sponge_9_4,0.5995273209989531,1,0.3031090835867871,0
plastic_box_4_3,0.8956558709080098,0.9241234942851111,1,0
book_7_1,0.6801921096713439,1,0.07031269099244196,0
metal_box_7_6,0.7822720273883321,0.6888359353137217,1,0
sponge_10_8,0.8973138968811801,1,0.1399087057703118,0
book_7_10,0.6738034080541215,1,0.06587287996411471,0
book_10_10,0.7320898736778684,1,0.2492921702783946,0
bowl_1_8,0.5674439545587313,1,0.4431537799454884,0.8867724049012033
bowl_1_9,0.5672982102197724,1,0.4482304715851826,0.8865290717929379
cup_1_9,0.6018779687501392,0.6275185477448114,1,0.897944127477593
sponge_2_2,0.5651788068517377,1,0.2232967659261029,0
plate_4_4,0.956374042784022,1,0.1475844166060681,0.8000566109471988
to_go_cup_10_1,0.8886651554906468,0.9156080385979135,1,0.7928746165460946
bowl_7_8,0.9927462049049207,1,0.7388604689911005,0.9364462026639249
cup_2_4,0.6694784879086264,1,0.6679826625227127,0.9734512769398834
plastic_box_4_6,0.8345011511992667,0.8834256749409227,1,0
paper_box_5_5,0.5125541549675494,1,0.5807820602951514,0
plastic_box_9_8,0.8821309376368421,1,0.542311113905111,0
plate_9_7,0.8849717139354815,1,0.186175052400597,0.9490739791645322
plastic_box_4_8,0.8829845537811215,0.8892718127656483,1,0
cup_8_1,0.5623226616818321,0.5242416716052877,1,0.9648102649669579
tray_5_7,0.7224122883763624,1,0.1150535301415021,0
ball_3_10,0.6323910956733624,1,0.8144480714265936,0
plastic_box_1_8,1,0.9944194756206687,0.6115021008565852,0
to_go_cup_6_6,0.8622084342230922,0.8788196200064973,1,0.8975641415347696
plate_4_9,0.9675604465794622,1,0.1529308831944067,0.807046635635483
plastic_box_6_4,1,0.9539326050074182,0.4185617337848102,0
sponge_9_6,0.6035729503218192,1,0.3124315109224562,0
bowl_4_4,0.9939978301981871,1,0.5741788248685373,0.9299126616088245
sponge_8_3,0.3554249930627149,1,0.1776399662680148,0
plate_9_6,0.8983005589686912,1,0.1900104708539764,0.9494554958343396
plastic_box_8_8,0.685620240555835,1,0.3658735760863909,0
book_8_3,0.7524124268755892,1,0.1031049590162514,0
plate_8_6,0.9612840674212921,1,0.2061291889045153,0.8773433675823923
sponge_3_3,1,0.8312914820757438,0.29329677740064,0
plastic_box_5_4,1,0.8911431229745573,0.3276644020796288,0
plastic_box_2_8,0.7844570818032458,1,0.4901850869335765,0
