instance_name,weight,roughness
ball_8_1,0.057,0.1457476464207641
plastic_box_9_8,0.072,0.280516877189995
bowl_2_2,0.343,0.2473886720617897
bowl_6_7,0.05,0.2662220053951233
plastic_box_7_1,0.109,0.2528822618053793
book_5_3,0.265,0.2222348259079438
ball_2_7,0.058,0.1177220053951235
metal_box_8_7,0.101,0.5513886720617898
plastic_box_6_10,0.055,0.2947732874464054
book_2_6,0.617,0.2351002105233282
metal_box_8_5,0.101,0.2141643130874309
ball_6_5,0.058,0.0735873900105077
to_go_cup_3_10,0.046,0.2619079028310208
ball_8_8,0.057,0.0929527746258925
plastic_box_6_9,0.055,0.3186707233438412
ball_3_9,0.05,0.1943309797540976
to_go_cup_6_7,0.019,0.2278630310361488
paper_box_2_3,0.054,0.2446707233438413
cup_6_9,0.302,0.2285745694976876
ball_1_4,0.096,0.1360553387284565
book_10_7,0.501,0.2826707233438412
book_8_4,0.317,0.2751707233438411
cup_8_7,0.166,0.2640296977028155
paper_box_1_4,0.011,0.2489784156515336
paper_box_1_10,0.011,0.2677284156515335
ball_7_7,0.069,0.1347989284720464
book_2_5,0.617,0.2269271336002514
cup_6_2,0.302,0.2545232874464052
book_1_5,0.589,0.258619441292559
tray_2_3,0.554,0.2418502105233284
metal_box_10_10,0.058,0.2946963643694822
book_10_10,0.501,0.2952348259079435
book_5_5,0.265,0.2491579028310207
metal_box_10_3,0.058,0.2727091848823028
plate_3_2,0.656,0.2154976464207644
tray_4_8,0.168,0.2204527746258925
plastic_box_4_9,0.026,0.2331579028310208
metal_box_10_6,0.058,0.275869441292559
to_go_cup_3_3,0.046,0.2628245694976873
bowl_3_6,0.222,0.236170723343841
paper_box_3_6,0.015,0.3103117489848669
ball_2_3,0.058,0.1093630310361488
metal_box_8_1,0.101,0.2604912361643538
bowl_8_1,0.244,0.1947604669335848
plate_5_7,0.436,0.1929655951387131
bowl_3_8,0.222,0.2254976464207644
plate_9_10,0.177,0.2437091848823029
ball_6_9,0.058,0.1382540566771746
plastic_box_4_10,0.026,0.2059848259079438
sponge_2_3,0.012,0.4429655951387131
to_go_cup_10_1,0.059,0.2730296977028155
ball_4_2,0.014,0.09699764642076414
to_go_cup_5_6,0.007,0.3249591848823025
book_2_7,0.617,0.2367861079592257
paper_box_5_10,0.017,0.2384912361643541
tray_6_2,0.312,0.3320361079592258
ball_8_3,0.057,0.1105168771899951
sponge_3_7,0.007,0.5692796977028154
sponge_7_2,0.011,0.2739527746258923
metal_box_3_10,0.146,0.2361835438566618
metal_box_10_7,0.058,0.2887861079592258
cup_1_10,0.218,0.2787861079592259
plate_5_10,0.436,0.210709184882303
metal_box_5_6,0.232,0.2338245694976872
paper_box_6_10,0.015,0.240670723343841
cup_8_3,0.166,0.2651579028310208
metal_box_9_4,0.167,0.2343309797540977
bowl_3_9,0.222,0.2478502105233284
book_2_10,0.617,0.2371963643694824
plastic_box_2_1,0.012,0.2661835438566617
to_go_cup_4_9,0.01,0.2337861079592258
sponge_6_4,0.008,0.3738373900105075
paper_box_1_6,0.011,0.2831771336002514
book_4_4,0.612,0.2623886720617899
book_1_2,0.589,0.279068159241277
bowl_2_5,0.343,0.2313950823182004
cup_10_7,0.058,0.2435296977028156
plastic_box_9_6,0.072,0.276613031036149
book_5_6,0.265,0.2199976464207641
cup_5_5,0.318,0.2241386720617899
metal_box_6_10,0.152,0.2854399541130718
plate_5_2,0.436,0.213292518215636
plastic_box_8_1,0.092,0.3121002105233282
paper_box_6_3,0.015,0.2403053387284567
paper_box_6_2,0.015,0.2438502105233283
sponge_10_10,0.012,0.3113694412925593
bowl_5_6,0.035,0.2775617489848671
paper_box_9_8,0.674,0.2386130310361488
metal_box_8_3,0.101,0.2170425182156362
plastic_box_2_5,0.012,0.265215595138713
bowl_6_6,0.05,0.2539976464207643
to_go_cup_5_2,0.007,0.3226450823182
ball_3_6,0.05,0.1181707233438412
cup_3_3,0.099,0.2283373900105078
book_8_3,0.317,0.2773117489848667
plate_9_5,0.177,0.2586450823182
plate_9_2,0.177,0.2756322618053795
to_go_cup_8_9,0.03,0.2526194412925591
bowl_2_8,0.343,0.2324335438566617
plate_1_2,0.17,0.2285040566771745
sponge_3_5,0.007,0.5435232874464052
bowl_9_2,0.548,0.2228822618053798
book_1_10,0.589,0.2680104669335849
book_6_9,0.896,0.2362861079592257
sponge_4_4,0.003,0.540542518215636
tray_5_9,0.167,0.2369591848823026
plastic_box_1_4,0.048,0.289516877189995
book_8_10,0.317,0.263286107959226
ball_8_6,0.057,0.1460168771899951
plastic_box_10_8,0.026,0.256741236164354
cup_9_2,0.324,0.2288181592412771
metal_box_6_2,0.152,0.2684527746258923
metal_box_9_5,0.167,0.2500617489848668
metal_box_5_9,0.232,0.2262925182156358
ball_4_10,0.014,0.1152925182156359
cup_4_2,0.13,0.2296322618053798
book_3_2,1.043,0.2758117489848667
plastic_box_4_3,0.026,0.2182155951387131
to_go_cup_5_10,0.007,0.3746066207797386
ball_9_5,0.012,0.09307456949768728
paper_box_9_6,0.674,0.213593800266918
book_6_6,0.896,0.2316835438566616
plastic_box_9_5,0.072,0.2784784156515335
paper_box_10_9,0.02,0.2303245694976873
paper_box_1_1,0.011,0.2763373900105079
to_go_cup_3_4,0.046,0.2853950823182002
bowl_4_7,0.282,0.1961258515489696
book_2_1,0.617,0.2408438002669179
plastic_box_5_7,0.022,0.2604591848823029
ball_9_10,0.012,0.1055809797540977
tray_10_8,0.187,0.2884463643694822
tray_2_6,0.554,0.2850040566771747
paper_box_5_5,0.017,0.2357027746258925
paper_box_1_2,0.011,0.2739655951387129
ball_3_7,0.05,0.1561707233438411
to_go_cup_3_5,0.046,0.288715595138713
paper_box_1_3,0.011,0.2644784156515335
sponge_9_5,0.013,0.4168630310361489
bowl_1_5,0.264,0.2176514925746106
sponge_5_5,0.005,0.3557027746258924
metal_box_1_7,0.041,0.2603117489848669
bowl_4_3,0.282,0.2138950823182001
metal_box_9_10,0.167,0.4849848259079438
tray_1_7,0.446,0.2806194412925591
ball_5_8,0.059,0.1067220053951233
to_go_cup_9_3,0.037,0.2648053387284565
to_go_cup_6_2,0.019,0.226343800266918
to_go_cup_2_4,0.014,0.3056899541130718
plate_5_4,0.436,0.2017220053951233
ball_10_1,0.033,0.1065104669335847
cup_10_4,0.058,0.2502348259079438
plastic_box_3_2,0.101,0.2201450823182001
cup_4_5,0.13,0.229664313087431
ball_7_8,0.069,0.1230168771899952
tray_3_9,0.489,0.3084784156515333
tray_2_10,0.554,0.287093800266918
sponge_8_5,0.008,0.3687091848823028
sponge_8_8,0.008,0.3711514925746104
bowl_7_3,0.028,0.2675296977028155
paper_box_9_1,0.674,0.2170361079592259
plastic_box_6_6,0.055,0.3068373900105077
paper_box_8_1,0.02,0.1601258515489693
cup_10_1,0.058,0.2730296977028155
plastic_box_7_10,0.109,0.2464912361643541
to_go_cup_6_6,0.019,0.2066771336002514
sponge_7_9,0.011,0.2749912361643541
metal_box_1_4,0.041,0.2166386720617898
plate_10_8,0.389,0.2145361079592258
to_go_cup_1_8,0.013,0.2864527746258926
to_go_cup_7_3,0.032,0.247869441292559
bowl_10_9,0.505,0.2586899541130719
tray_10_9,0.187,0.2340553387284566
plate_7_3,0.019,0.3532220053951232
book_5_10,0.265,0.2197861079592259
to_go_cup_1_9,0.013,0.2822091848823028
to_go_cup_7_2,0.032,0.2524207233438412
ball_6_7,0.058,0.1554591848823029
plastic_box_10_5,0.026,0.2755232874464053
plate_4_1,0.343,0.233068159241277
sponge_10_6,0.012,0.3327989284720462
cup_5_2,0.318,0.2639143130874307
to_go_cup_10_2,0.059,0.2463822618053797
book_6_5,0.896,0.2279848259079439
tray_1_8,0.446,0.2835168771899951
metal_box_7_9,0.076,0.2723053387284564
cup_5_6,0.318,0.2353373900105079
tray_10_5,0.187,0.2477989284720464
plastic_box_4_6,0.026,0.2274014925746104
paper_box_7_9,0.044,0.2726066207797387
ball_4_3,0.014,0.08150405667717457
to_go_cup_6_3,0.019,0.2186450823182002
metal_box_3_7,0.146,0.2398758515489695
paper_box_5_3,0.017,0.2396130310361488
to_go_cup_5_7,0.007,0.3217412361643538
plate_9_7,0.177,0.2568438002669183
plate_2_1,0.331,0.2389527746258925
paper_box_9_10,0.674,0.1603694412925591
metal_box_8_2,0.101,0.3048630310361488
sponge_3_2,0.007,0.5745425182156358
book_6_4,0.896,0.2225489284720462
tray_3_1,0.489,0.2786258515489695
paper_box_8_7,0.02,0.1520361079592257
cup_1_7,0.218,0.2783822618053794
to_go_cup_2_7,0.014,0.2874463643694822
metal_box_6_1,0.152,0.2794463643694822
paper_box_7_5,0.044,0.2619655951387131
to_go_cup_8_2,0.03,0.2688502105233285
plate_2_6,0.331,0.226337390010508
plate_9_6,0.177,0.262170723343841
to_go_cup_1_1,0.013,0.2820681592412771
bowl_10_8,0.505,0.2489655951387127
book_5_4,0.265,0.2219784156515334
cup_7_9,0.239,0.1925873900105079
book_7_3,0.465,0.2403694412925589
cup_7_5,0.239,0.1937668771899949
bowl_5_1,0.035,0.2707732874464052
to_go_cup_3_6,0.046,0.2907989284720463
cup_8_2,0.166,0.2688502105233285
ball_8_9,0.057,0.1357348259079438
book_1_3,0.589,0.2640232874464052
tray_7_10,0.022,0.220991236164354
metal_box_8_4,0.101,0.2144912361643542
tray_10_7,0.187,0.2562476464207643
to_go_cup_6_1,0.019,0.2168181592412773
to_go_cup_7_8,0.032,0.2431194412925592
to_go_cup_4_7,0.01,0.2497284156515335
cup_8_4,0.166,0.2491066207797384
sponge_1_2,0.005,0.3336130310361489
paper_box_9_5,0.674,0.2093117489848669
plastic_box_8_6,0.092,0.2905938002669181
book_3_10,1.043,0.2791707233438411
sponge_4_1,0.003,0.5419014925746104
tray_7_2,0.022,0.2419014925746104
book_10_4,0.501,0.2649463643694819
metal_box_6_7,0.152,0.2849720053951231
